symbol,exit_price,pnl,pct,reason,line
CCG,6.95,-3.29,-5.00%,stop_loss,"2025-11-17 19:24:52,955 INFO core.backtester - [EXIT] CCG | Price: $6.95 | P&L: $-3.29 (-5.00%) | Reason: stop_loss component=intraday_bt"
NAMSW,6.08,-3.52,-5.00%,stop_loss,"2025-11-17 19:24:53,042 INFO core.backtester - [EXIT] NAMSW | Price: $6.08 | P&L: $-3.52 (-5.00%) | Reason: stop_loss component=intraday_bt"
CLRO,1.08,-3.53,-5.00%,stop_loss,"2025-11-17 19:24:53,094 INFO core.backtester - [EXIT] CLRO | Price: $1.08 | P&L: $-3.53 (-5.00%) | Reason: stop_loss component=intraday_bt"
XBIT,5.28,-3.34,-5.00%,stop_loss,"2025-11-17 19:24:53,242 INFO core.backtester - [EXIT] XBIT | Price: $5.28 | P&L: $-3.34 (-5.00%) | Reason: stop_loss component=intraday_bt"
RR,9.5,-3.5,-5.00%,stop_loss,"2025-11-17 19:24:53,284 INFO core.backtester - [EXIT] RR | Price: $9.50 | P&L: $-3.50 (-5.00%) | Reason: stop_loss component=intraday_bt"
ZEPP,1.68,-3.45,-5.00%,stop_loss,"2025-11-17 19:24:53,331 INFO core.backtester - [EXIT] ZEPP | Price: $1.68 | P&L: $-3.45 (-5.00%) | Reason: stop_loss component=intraday_bt"
NVNI,2.45,-3.48,-5.00%,stop_loss,"2025-11-17 19:25:11,186 INFO core.backtester - [EXIT] NVNI | Price: $2.45 | P&L: $-3.48 (-5.00%) | Reason: stop_loss component=intraday_bt"
TOPS,16.04,-3.38,-5.00%,stop_loss,"2025-11-17 19:25:11,235 INFO core.backtester - [EXIT] TOPS | Price: $16.04 | P&L: $-3.38 (-5.00%) | Reason: stop_loss component=intraday_bt"
EKSO,2.13,-3.47,-5.00%,stop_loss,"2025-11-17 19:25:11,319 INFO core.backtester - [EXIT] EKSO | Price: $2.13 | P&L: $-3.47 (-5.00%) | Reason: stop_loss component=intraday_bt"
SYBX,3.8,-3.4,-5.00%,stop_loss,"2025-11-17 19:25:11,368 INFO core.backtester - [EXIT] SYBX | Price: $3.80 | P&L: $-3.40 (-5.00%) | Reason: stop_loss component=intraday_bt"
VEL,16.91,-2.67,-5.00%,stop_loss,"2025-11-17 19:25:11,411 INFO core.backtester - [EXIT] VEL | Price: $16.91 | P&L: $-2.67 (-5.00%) | Reason: stop_loss component=intraday_bt"
ADTX,4.94,-3.38,-5.00%,stop_loss,"2025-11-17 19:25:11,457 INFO core.backtester - [EXIT] ADTX | Price: $4.94 | P&L: $-3.38 (-5.00%) | Reason: stop_loss component=intraday_bt"
RVSN,1.47,-3.33,-5.00%,stop_loss,"2025-11-17 19:25:11,500 INFO core.backtester - [EXIT] RVSN | Price: $1.47 | P&L: $-3.33 (-5.00%) | Reason: stop_loss component=intraday_bt"
BFRGW,1.14,-3.36,-5.00%,stop_loss,"2025-11-17 19:25:11,545 INFO core.backtester - [EXIT] BFRGW | Price: $1.14 | P&L: $-3.36 (-5.00%) | Reason: stop_loss component=intraday_bt"
ARL,21.75,-2.29,-5.00%,stop_loss,"2025-11-17 19:25:11,590 INFO core.backtester - [EXIT] ARL | Price: $21.75 | P&L: $-2.29 (-5.00%) | Reason: stop_loss component=intraday_bt"
CVGW,27.6,-2.91,-5.00%,stop_loss,"2025-11-17 19:25:11,678 INFO core.backtester - [EXIT] CVGW | Price: $27.60 | P&L: $-2.91 (-5.00%) | Reason: stop_loss component=intraday_bt"
RLAY,11.11,-2.93,-5.00%,stop_loss,"2025-11-17 19:25:11,723 INFO core.backtester - [EXIT] RLAY | Price: $11.11 | P&L: $-2.93 (-5.00%) | Reason: stop_loss component=intraday_bt"
LASE,1.19,-3.25,-5.00%,stop_loss,"2025-11-17 19:25:11,760 INFO core.backtester - [EXIT] LASE | Price: $1.19 | P&L: $-3.25 (-5.00%) | Reason: stop_loss component=intraday_bt"
AEHL,2.56,-3.24,-5.00%,stop_loss,"2025-11-17 19:25:29,797 INFO core.backtester - [EXIT] AEHL | Price: $2.56 | P&L: $-3.24 (-5.00%) | Reason: stop_loss component=intraday_bt"
CPOP,1.0,-3.26,-5.00%,stop_loss,"2025-11-17 19:25:29,841 INFO core.backtester - [EXIT] CPOP | Price: $1.00 | P&L: $-3.26 (-5.00%) | Reason: stop_loss component=intraday_bt"
ROMA,1.33,-3.22,-5.00%,stop_loss,"2025-11-17 19:25:29,890 INFO core.backtester - [EXIT] ROMA | Price: $1.33 | P&L: $-3.22 (-5.00%) | Reason: stop_loss component=intraday_bt"
CMPX,1.59,-3.17,-5.00%,stop_loss,"2025-11-17 19:25:29,934 INFO core.backtester - [EXIT] CMPX | Price: $1.59 | P&L: $-3.17 (-5.00%) | Reason: stop_loss component=intraday_bt"
UK,3.41,-3.05,-5.00%,stop_loss,"2025-11-17 19:25:30,025 INFO core.backtester - [EXIT] UK | Price: $3.41 | P&L: $-3.05 (-5.00%) | Reason: stop_loss component=intraday_bt"
HOVR,3.04,-3.04,-5.00%,stop_loss,"2025-11-17 19:25:30,073 INFO core.backtester - [EXIT] HOVR | Price: $3.04 | P&L: $-3.04 (-5.00%) | Reason: stop_loss component=intraday_bt"
CING,6.02,-3.17,-5.00%,stop_loss,"2025-11-17 19:25:30,160 INFO core.backtester - [EXIT] CING | Price: $6.02 | P&L: $-3.17 (-5.00%) | Reason: stop_loss component=intraday_bt"
ADCT,2.01,-3.07,-5.00%,stop_loss,"2025-11-17 19:25:30,209 INFO core.backtester - [EXIT] ADCT | Price: $2.01 | P&L: $-3.07 (-5.00%) | Reason: stop_loss component=intraday_bt"
MEGL,0.97,-3.11,-5.00%,stop_loss,"2025-11-17 19:25:30,254 INFO core.backtester - [EXIT] MEGL | Price: $0.97 | P&L: $-3.11 (-5.00%) | Reason: stop_loss component=intraday_bt"
INVZ,1.97,-3.11,-5.00%,stop_loss,"2025-11-17 19:25:30,296 INFO core.backtester - [EXIT] INVZ | Price: $1.97 | P&L: $-3.11 (-5.00%) | Reason: stop_loss component=intraday_bt"
BGI,4.27,-2.93,-5.00%,stop_loss,"2025-11-17 19:25:30,340 INFO core.backtester - [EXIT] BGI | Price: $4.27 | P&L: $-2.93 (-5.00%) | Reason: stop_loss component=intraday_bt"
MAIA,1.52,-3.04,-5.00%,stop_loss,"2025-11-17 19:25:30,383 INFO core.backtester - [EXIT] MAIA | Price: $1.52 | P&L: $-3.04 (-5.00%) | Reason: stop_loss component=intraday_bt"
MURA,5.51,-2.9,-5.00%,stop_loss,"2025-11-17 19:25:50,240 INFO core.backtester - [EXIT] MURA | Price: $5.51 | P&L: $-2.90 (-5.00%) | Reason: stop_loss component=intraday_bt"
GIGM,1.65,-3.04,-5.00%,stop_loss,"2025-11-17 19:25:50,284 INFO core.backtester - [EXIT] GIGM | Price: $1.65 | P&L: $-3.04 (-5.00%) | Reason: stop_loss component=intraday_bt"
SYTA,4.08,-3.01,-5.00%,stop_loss,"2025-11-17 19:25:50,329 INFO core.backtester - [EXIT] SYTA | Price: $4.08 | P&L: $-3.01 (-5.00%) | Reason: stop_loss component=intraday_bt"
